Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
May 12 2021,413055,413473,405688,406304.00,406304,3735080000
May 13 2021,407499,413158,407499,41125.00,411250,3687780000
May 14 2021,412958,418313,412958,417385.00,417385,3251920000
May 17 2021,416992,417192,414269,416329.00,416329,3307130000
May 18 2021,416594,416915,412599,412783.00,412783,3559790000
May 19 2021,409845,411693,406141,411568.00,411568,3485550000
May 20 2021,412197,417280,412197,415912.00,415912,3019060000
May 21 2021,416861,418872,415172,415586.00,415586,3344620000
May 24 2021,417016,420952,417016,419705.00,419705,2947400000
May 25 2021,420594,421342,418252,418813.00,418813,3420870000
May 26 2021,419159,420261,418411,419599.00,419599,3674490000
May 27 2021,420194,421338,419778,420088.00,420088,5201110000
May 28 2021,421077,421836,420357,420411.00,420411,4199270000
Jun 01 2021,421652,423412,419759,420204.00,420204,4122960000
Jun 02 2021,420682,421737,419827,420812.00,420812,4860930000
Jun 03 2021,419143,420439,416793,419285.00,419285,4579450000
Jun 04 2021,420605,423345,420605,422989.00,422989,3487070000
Jun 07 2021,422934,423234,421566,422652.00,422652,3835570000
Jun 08 2021,423381,423674,420841,422726.00,422726,3943870000
Jun 09 2021,423299,423709,421874,421955.00,421955,3902870000
Jun 10 2021,422856,424974,422034,423918.00,423918,3502480000
Jun 11 2021,424290,424838,423225,424744.00,424744,3204280000
Jun 14 2021,424831,425559,423407,425515.00,425515,3612050000
Jun 15 2021,425528,425716,423835,424659.00,424659,3578450000
Jun 16 2021,424887,425189,420245,42237.00,422370,3722050000
Jun 17 2021,422037,423229,419605,422186.00,422186,3952110000
Jun 18 2021,420478,420478,416440,416645.00,416645,6084980000
Jun 21 2021,417340,422624,417340,422479.00,422479,3391740000
Jun 22 2021,422461,425584,421727,424644.00,424644,3208760000
Jun 23 2021,424927,425660,424143,424184.00,424184,3172440000
Jun 24 2021,425697,427128,425697,426649.00,426649,3141680000
Jun 25 2021,427445,428612,427116,42807.00,428070,6248390000
Jun 28 2021,428490,429214,427467,429061.00,429061,3415610000
Jun 29 2021,429321,430052,428704,42918.00,429180,3049560000
Jun 30 2021,429065,430243,428796,42975.00,429750,3687880000
Jul 01 2021,430073,432066,430073,431994.00,431994,3077580000
Jul 02 2021,432660,435543,432660,435234.00,435234,2628550000
Jul 06 2021,435646,435646,431437,434354.00,434354,3437900000
Jul 07 2021,435101,436188,432979,435813.00,435813,3243900000
Jul 08 2021,432107,433088,428937,432082.00,432082,3393780000
Jul 09 2021,432938,437160,432938,436955.00,436955,2738280000
Jul 12 2021,437241,438668,436403,438463.00,438463,2983980000
Jul 13 2021,438107,439237,436692,436921.00,436921,3166900000
Jul 14 2021,438011,439368,436236,43743.00,437430,3213870000
Jul 15 2021,436902,436902,434070,436003.00,436003,3226930000
Jul 16 2021,436743,437509,432253,432716.00,432716,3165160000
Jul 19 2021,429640,429640,423313,425849.00,425849,4155790000
Jul 20 2021,426511,433684,426205,432306.00,432306,3634190000
Jul 21 2021,433113,435970,433113,435869.00,435869,3078550000
Jul 22 2021,436127,436987,435006,436748.00,436748,2907910000
Jul 23 2021,438120,441518,438120,441179.00,441179,3490730000
Jul 26 2021,440958,442273,440545,44223.00,442230,2679110000
Jul 27 2021,441638,441638,437251,440146.00,440146,3381080000
Jul 28 2021,440295,441547,438701,440064.00,440064,3215130000
Jul 29 2021,440359,442997,440359,441915.00,441915,2815510000
Jul 30 2021,439512,441225,438965,439526.00,439526,2861600000
Aug 02 2021,440686,442218,438481,438716.00,438716,2919940000
Aug 03 2021,439274,442379,437300,442315.00,442315,3305340000
Aug 04 2021,441595,441617,440023,440266.00,440266,3382620000
Aug 05 2021,440886,442976,440886,44291.00,442910,2734220000
Aug 06 2021,442907,444082,442907,443652.00,443652,2839970000
Aug 09 2021,443777,443939,442474,443235.00,443235,2779880000
Aug 10 2021,443579,444521,443003,443675.00,443675,3219840000
Aug 11 2021,444218,444944,443642,444241.00,444241,2803060000
Aug 12 2021,444608,446177,443596,446083.00,446083,2543860000
Aug 13 2021,446484,446837,446082,4468.00,446800,2371630000
Aug 16 2021,446165,448026,443766,447971.00,447971,2707170000
Aug 17 2021,446212,446212,441783,444808.00,444808,2884000000
Aug 18 2021,444094,445432,439759,440027.00,440027,2965210000
Aug 19 2021,438244,441861,436773,44058.00,440580,3120840000
Aug 20 2021,441056,444435,440680,444167.00,444167,2867770000
Aug 23 2021,445029,448988,445029,447953.00,447953,2965520000
Aug 24 2021,448440,449281,448228,448623.00,448623,3037770000
Aug 25 2021,449045,450171,448566,449619.00,449619,2554680000
